IncidentNumber	Rank	OfficerRace	OfficerGender	YearsOfSPDService	TypeOfWeapon	SubjectGender	SubjectRace	SubjectAge	Fatal	On-duty	Disposition	OfficerDisciplined?	Summary
20050000118193	Officer	White	Male	20	Knife	Male	Asian	29	Yes	Yes	Missing	Missing	On March 21st, 2005, at approximately 5:20 P.M., Seattle Police Officers responded to the 6500 block of Rainier Avenue South to investigate a reported domestic disturbance. When officers arrived, they found the subject holding a 10 month old child hostage. Hostage Negotiation Team (HNT) and Special Weapons and Tactics (SWAT) were called to the scene. After approximately one hour, a SWAT/K9 Officer fired one round, striking the subject. The child was rescued, unharmed.
20050000174022	Officer	White	Male	5	nan	Male	White	36	Yes	Yes	Justified	No	On April 29th, 2005, at approximately 3:35 A.M., an on duty Patrol Officer responded to assist in locating a possibly suicidal person, in the area of the 1st Avenue South Bridge. The subject was located in steep terrain and bushes after having jumped from the bridge. Officers approached the subject, and while attempting to take the subject into custody, the subject made attempts to grab both officers’ firearms. An officer fired two rounds, striking the subject. The subject was transported by medics to Harborview Medical Center where he died.  The subject was not armed by attempted to take or control the firearms of both officers.
20050000256303	Officer	White	Male	15	Grenade, backpack reported to have explosives	Male	White	53	Yes	Yes	Justified	No	On June 20th, 2005, at approximately 11:30 A.M., a male subject entered the lobby of the Federal Courthouse at 700 Stewart St. wearing a yellow backpack strapped to his chest and attempted to gain access to the secure area of the building. When courthouse security ordered the subject to stop he produced a fragmentation grenade. Approximately 20 minutes later Seattle Police Officers responded to the Federal Courthouse. Officers took up positions across the lobby from the subject and after verbal commands to put down the grenade and backpack, one SWAT Officer and one Patrol Officer each fired rounds. The subject died at the scene.
20050000286240	Officer	White	Male	4	Screwdriver	Male	Black or African American	48	No	Yes	Justified	No	On July 8th, 2005, at approximately 1:45 P.M., Seattle Police Officers responded to the 1600 block of East Union St. in response to a report of a burglary, in-progress. The person reporting the crime stated they arrived to find a black male, wearing a dark green sweatshirt and black pants, burglarizing her home and that she was assaulted by the subject as he fled, on foot. A uniformed Patrol Officer, driving a marked police vehicle, located a subject matching the description and attempted to detain him. The subject assaulted the officer and a physical altercation ensued. After striking the subject and deploying pepper spray, the subject retrieved a screwdriver from his waistline and threw it at the officer. At approximately the same time, the officer fired one round, striking the subject in the left arm.    The subject was treated for a gunshot wound at Harborview Medical Center.   The subject was charged with Burglary and Assault.
20050000388203	Officer	White	Male	5	nan	Female	White	44	No	Yes	Not Justified	Yes	On September 10th, 2005, at approximately 3:45 A.M., two Seattle Police Officers were in the area of Harborview Medical Center at 9th Avenue and East Jefferson St., investigating a ‘domestic disturbance.’ And unrelated subject approached one of the officers and requested a ride. The officer stated he was unable to give the subject a ride and suggested she call a cab. The subject proceeded to steal a marked Seattle Police patrol car and flee the scene. The Patrol Officer, attempting to stop the subject, fired three rounds into the driver’s side while running with the vehicle, missing the driver. The subject continued to elude police and was later apprehended at 14th Avenue South and South Massachusetts St.  The subject was not injured.  The subject was charged with Auto Theft and Eluding.
20050000407965	Officer	Hispanic/Latino	Male	11	6 shot .357 revolver	Male	White	22	No	Yes	Justified	No	On September 23rd, 2005, at approximately 2:00 A.M., two Seattle Police Officers were in the area of 1st and Blanchard St. to monitor bar closing. The officers observed the subject, driving a motorcycle, fire a handgun into a group of people at the intersection of Western Avenue and Blanchard St. The subject continued eastbound toward the officers. The officer fired a total of seven rounds, striking the subject in the left leg as he continued past them toward 1st Avenue. At the intersection of 1st Avenue and Blanchard St. the subject collided with a vehicle and was taken into custody by officers. The subject was transported to Harborview Medical Center and later charged with Assault and Drive-By Shooting.
20050000499750	Officer	White	Male	7	nan	Male	White	54	No	Yes	Justified	No	On November 22nd, 2005, at approximately 12:45 P.M., two on duty Seattle Police Officers were in the area of 42nd Ave Southwest and Fauntleroy Way Southwest, in a marked Seattle Police patrol vehicle. The officers were approached by an employee of the Washington Federal Savings Bank (6428 California Avenue Southwest), who stated they had just been the subject of a robbery.  The employee pointed to a subject walking eastbound from their location, wearing a black hooded sweatshirt and black pants, and identified him as the person who had committed the robbery. One of the officers approached the subject from behind, identified himself as ‘Police’ and ordered the subject, several times, to ‘get on the ground.’ The subject had his hood up and his hands in the pockets of his sweatshirt and did not respond to commands from the officer. Shortly after the officer made initial contact with the subject, a vehicle, later identified as the getaway car, pulled up and the subject turned to face the officer. The officer fired three rounds, striking the subject in the left leg. The subject was transported to Harborview Medical Center and later booked into the King County Jail for investigation of Bank Robbery.
20050000530964	Officer	White	Male	1	Mac-10, 9 mm machine pistol	Male	Black or African American	23	No	Yes	Justified	No	On December 15, 2005, at approximately 1:44 A.M., a uniformed patrol officer, driving a marked Seattle Police Department vehicle, in the vicinity of 9th Ave. and Marion., when the officer heard gunfire.  The officer observed a small group of individuals in the intersection with two subjects firing handguns.  The officer observed a third subject firing a ‘machine pistol’ at the group of subjects in the intersection.   The officer stopped his vehicle and addressed the subject firing the ‘machine pistol’ at which point the subject turned and pointed the pistol at the officer.  The officer fired his weapon, striking the subject once in the side of the chest.  The sujbect was injured and transported to Harborview Medical Center.   The subject was later booked into the King County Jail and charged with Assault and Violation of the Uniform Firearms Act.
20060000004281	Sergeant	White	Male	38	Board	Male	White	25	No	Yes	Justified	No	On January 4, 2006, at approximately 4:30 A.M., an on duty Sergeant in a marked Seattle Police Department vehicle responded as backup to an officer on the scene of a DV disturbance call at 637 Third Ave. West.  The subject was in a state of undress, armed with a jagged board, yelling, and walking down the middle of street causing damage with the board, including damage to the patrol car of the first officer to arrive on scene.   Upon arrival, the Sergeant contacted the subject, who approached the Sergeant yelling “Kill me”, and “You’ll have to shoot me”.  The Sergeant ordered the subject to drop the board, and go to the ground.  The subject refused and the Sergeant shot one round into the asphalt 10 to 12 feet in front of the subject.   The subject immediately stopped and turned away, allowing the Sergeant and other officers to place the subject in custody. The subject was treated by medics at the scene and booked into the King County Jail.  The subject was charged with Assault and DV Assault.
20060000082380	Officer	White	Male	12	Vehicle	Male	Black or African American	34	No	Yes	Justified	No	On February 27th, 2006, at approximately 1:10 A.M., two Seattle Police Patrol Officers riding department issued bicycles, observed a vehicle in a parking lot in the 200 block of 6th Avenue North. The dome light was on and the windows were fogged up. The vehicle was occupied by two subjects the officers believed to be involved in a drug transaction. As the officers approached the vehicle, the officer on the passenger side observed money being exchanged. The officer drew his firearm, identified himself as Police and ordered the subjects to freeze and show their hands. The driver shifted the vehicle into reverse and began to pull out from the parking space. The other officer was approaching from behind the vehicle when the driver shifted into reverse. The vehicle backed into the officers’ bicycle but the officer escaped uninjured. The officer who was on the passenger side had transitioned to the front of the vehicle when the driver then began to accelerate forward. The officer was between the vehicle and a concrete wall just forward of the driver’s side. The officer fired two rounds, missing the driver and striking the car. The vehicle continued out of the parking lot and onto 6th Avenue North. At the intersection of 6th Avenue North and Aurora Avenue North, the driver lost control and impacted a barrier. Both subjects fled on foot but were later taken into custody by officers. The driver was charged with assault.    The subject was not injured.  The subject was arrested and charged with Assault.
20060000161445	Officer	White	Male	16	Handgun	Male	White	54	No	Yes	Justified	No	On April 23rd, 2006, at 9:50 A.M., multiple Seattle Police Officers responded to reports of shots fired in the 9700 block of Wallingford Avenue North.  Upon arrival, an officer was directed to a subject standing in the middle of Wallingford Avenue North, holding a handgun. The subject began firing on the officer. The officer put his vehicle in reverse to escape and retreated to a safe distance and took up position, with his patrol rifle, behind the trunk of his car. The subject continued to fire and the officer returned fire with one round from his rifle, missing the subject. The subject walked out of sight and was found in a driveway, deceased of an apparent self-inflicted gunshot wound.
20060000165112	Officer	Black	Male	7	Colt Revolver	Male	White	18	Yes	Yes	Justified	No	On April 25th, 2006, at approximately 8:20 P.M., uniformed Seattle Police Officers responded to the area of Broadway Avenue East and East John St. for a report of a man with a gun. Earlier, the subject had been involved in a series of disturbances and fights on Broadway Avenue East in which he threatened to shoot people. Officers approached the subject at a bus stop and gave orders for the subject to keep his hands visible and at his sides. The officers were aware, from dispatched information and reports from bystanders, that the subject was armed with a pistol located in his waistband. The subject reached behind himself, with both hands and refused to comply with commands show them his hands. After taking several steps backward, the subject produced a revolver from his waistband and pointed it at officers. Both officers fired several rounds striking the subject in the legs and the chest. The subject was pronounced dead at the scene.
20060000256540	Officer	White	Male	12	nan	Male	White	52	No	No	Justified	No	On June 24th, 2006, at approximately midnight, an off duty Seattle Police Officer was riding his personally owned motorcycle through Post Alley, northbound between Stewart St. and Virginia St. The alley contained approximately 50 to 100 people who were obstructing travel. In the course of transiting the alley, a female subject became agitated and confronted the officer. The female subject refused to move from the officers’ path and eventually mounted the front fender of the officer’s motorcycle, as the officer continued northbound toward Virginia St. Near the end of the alley the officer was unable to keep the motorcycle upright. The female subject was impeding the officers’ efforts to right the motorcycle. In the ensuing disturbance a crowd of people, apparently coming to the defense of the female subject, attacked the officer and forced him to the ground. The attackers proceeded to kick and punch the officer repeatedly in the face and head. The officer drew his department issued firearm and discharged approximately three rounds. Shortly after the officer fired a male approached in an apparent effort to continue the attack. The officer fired three additional rounds, striking the subject twice.  The subject received two gunshot wounds, was transported to Harborview Medical Center where he was treated and survived.
20070000005873	Officer	White	Male	3	Vehicle	Male	Asian	42	No	Yes	Justified	No	On January 4th, 2007, at approximately 11:00 P.M., two on-duty, plain clothes Seattle Police Officers from the Anti-Crime Team attempted to contact the driver of a stolen vehicle parked in the 13700 block of Midvale Avenue North. The officers were in plain clothes and were in an unmarked Seattle Police vehicle. They parked in front of the stolen vehicle and activated their emergency lights. As they exited the vehicle both officers identified themselves as Seattle Police, displayed their Seattle Police badges and ordered the subject to put the vehicle in park. The driver of the vehicle attempted to flee by accelerating forward toward one of the officers. The officer fired one round through the front windshield, striking the subject. The driver slumped in the front seat and the vehicle came to a stop. The subject was transported to Harborview Medical Center.   The subject was charged with Assault, Auto Theft, and Violation of the Uniform Controlled Substance Act.
20070000023777	Officer	White	Male	11	Handgun	Male	White	29	Yes	Yes	Justified	No	On January 17th, 2007, at approximately 10:00 P.M., two on duty, plain clothes Seattle Police Officers from the Anti-Crime Team were traveling northbound in the 8800 block of Aurora Avenue North. The officers observed a disturbance between three males in front of a motel. As the officers approached the three males, two of the subjects could be heard saying “Call 911! Get the police here!” and the third subject began walking away. The remaining subjects yelled “he has got a gun,” as the officers pursued the subject. As officers approached the subject, the subject turned around and fired several rounds at the two witnesses. The officers continued toward the subject, placing the vehicle in the subjects’ line of fire, striking the subject with the front bumper. The subject turned and fired on the officers, shattering the driver’s window and striking the officer driving the vehicle. As the officer driving the vehicle returned fire, the officer in the passenger seat exited the vehicle and advanced on the subject, identifying himself as police and ordering him to get down. The subject then turned and pointed his firearm at the officer. The officer fired on the subject, striking him. The subject dropped to his knees and the officer held the subject at gunpoint until additional officers arrived and took the subject into custody. The subject was pronounced dead at the scene.
20070000251617	Officer	White	Male	8	Handgun	Male	White	29	No	No	Justified	No	On June 21st, 2007, at approximately 11:40 P.M., a Seattle Police Department Sergeant and two Detectives, were in the area of the 1800 block of Yale Avenue. The personnel were on-duty in plain clothes driving an unmarked vehicle, which was not equipped with emergency equipment. A vehicle pulled out of a parking space in front of the vehicle, nearly causing a collision. The Detective driving the Seattle Police vehicle used his horn to alert the driver. The driver of the other vehicle responded by traveling at a low rate of speed and proceeded to gesture at the Seattle Police personnel. After some distance the vehicles approached the intersection of Westlake Avenue North and Denny Way. Instead of proceeding in his lane, the driver of the other vehicle stopped alongside the Seattle Police personnel. After an exchange of words, the driver of the other vehicle produced a handgun and chambered a round by racking the slide. The detective driving the Seattle Police vehicle fired on the subject. Following the exchange, the driver of the other vehicle accelerated away from the Seattle Police personnel and traveled north on Aurora Avenue North.   The Seattle Police personnel followed the other vehicle several miles north into the Greenlake neighborhood.  At North 80th St. and Greenlake Drive North, the driver of the other vehicle turned across the lanes of travel and fired three rounds from inside his vehicle, striking the Seattle Police vehicle several times.   Seattle Police personnel continued to follow the subject vehicle until, at North 82nd St. and Linden Ave. North, the were forced to come to a stop.  Two of the three rounds fired at the Seattle Police vehicle had punctured and deflated the two front tires rendering the vehicle inoperative.   The driver of the other vehicle later surrendered to Seattle Police.   The subject was charged with Assault.
20070000421351	Officer	White	Male	2	nan	Male	Asian	13	No	Yes	Justified	No	On October 14th, 2007, at approximately 3:15 A.M., an on-duty Seattle Police Officer was in the area of 25th Avenue South and South Washington St. when two males approached his vehicle. The officer was in full uniform and driving a marked Seattle Police patrol vehicle. As the subjects neared the officer’s vehicle they suddenly ran in the opposite direction, away from the officer. The officer conducted an area check and located the two subjects on the northwest corner of 26th Avenue South and South Washington St. and initiated an investigative stop. The officer asked both subjects several times to keep their hands in sight, but they were not compliant. At one point, one of the subjects lifted his shirt and the officer saw a black object in his waistband. Shortly after lifting his shirt, the subject advanced toward the officer while reaching for the object. The officer fired two rounds, striking the subject in the left leg. The subject fell to the ground. The officer ordered the other subject to get on the ground. The subject complied. Both subjects were taken into custody.  The subject was transported to Harborview Medical Center.
20080000198890	Sergeant	Asian/Pacific Islander	Male	29	Vehicle	Male	Black or African American	42	No	Yes	Justified	No	On June 2nd, 2008, at approximately, 2:25 P.M., a subject robbed the Qualstar Credit Union in the 1700 block of 4th Avenue South. During the robbery, the subject displayed a small handgun. The subject was known to police and was believed to be associated with several other robberies. Two Seattle Police Robbery Detectives responded in plain clothes and an unmarked Seattle Police vehicle, equipped with emergency lights, and attempted to locate the subject. The detectives located the subject on Interstate 90, traveling eastbound at a high rate of speed. The detectives pursued the subject to a residential neighborhood on Mercer Island. In an attempt to escape a dead end driveway, the subject drove his vehicle at the detectives. With no opportunity to escape, the detectives each fired two rounds striking the subject in the right index finger. The subject was charged with Armed Bank Robbery.
20080000239056	Sergeant	AI/AN	Male	19	Handgun	Male	White	51	No	Yes	Justified	No	On July 1st, 2008, at approximately 10:10 A.M., the Wells Fargo Bank at 2358 California Avenue Southwest was robbed. Two subjects fled the scene in a Jeep Cherokee. Officers from the Seattle Police Department pursued the subjects. After an extended pursuit leading from West Seattle into downtown, one of the subjects exited the vehicle and fled on foot. The remaining subject continued on for several more minutes until traffic blocked the subject’s escape. Several Seattle Police Patrol Officers and SWAT Officers, assisted by a King County Sheriff’s Office (KCSO) Deputy attempted to convince the subjects to surrender, unsuccessfully. After several minutes, the subject pointed a black airsoft pellet pistol at officers. Several officers fired on the subject.  The subject slumped over initially, but reappeared and again displayed the pistol. Officers fired on the subject a second time. Again, the subject slumped over in the driver’s seat. A SWAT Team approached the vehicle and removed the subject. The subject was pronounced dead at the scene.
20080000295543	Detective	White	Male	15	Handgun	Male	White	33	No	No	Justified	No	On August 9th, 2008, at approximately midnight, a group of off-duty Seattle Police Department employees were socializing at the Loud American Roadhouse in Sturgis, South Dakota. The group was traveling together on vacation attending the annual Sturgis Motorcycle Rally. Several of the employees belonged to a motorcycle club called the ‘Iron Pigs’ and were displaying club apparel, including patches and insignia identifying themselves as such. The group had identified several other people in the roadhouse as members of the Hells Angels. At approximately 12:30 A.M., one of the members of the group, a Seattle Police Detective, became concerned with the behavior of the Hells Angels members at the bar and began moving the party to leave the establishment. A group of the Hells Angels approached the detective and a physical altercation ensued. One of the Hells Angels had the detective in a chokehold. The detective reports he was beginning to lose consciousness when he drew his department issued firearm and fired two rounds. Local, state and federal law enforcement responded to the scene. The subject was transported to a hospital in Rapid City, South Dakota where he was treated for his injuries and released.
